WM_YR_WK,DC,CHAMBER,DEPT,NumPacks,Inbound_Outbound,Actual_Forecast,WalmartYear,WalmartWeek,TypeYearLabel,Curr_YR,Curr_WK,NetworkCapacity,RefreshDate
11635,7014,FDD,90,235752,Inbound,Forecast,2016,35,Forecast_2016,2016,28,98419636,17-Aug-16
11635,7024,FDD,90,283896,Inbound,Forecast,2016,35,Forecast_2016,2016,28,98419636,17-Aug-16
11635,6072,FDD,90,238167,Inbound,Forecast,2016,35,Forecast_2016,2016,28,98419636,17-Aug-16
11635,6084,FDD,90,220206,Inbound,Forecast,2016,35,Forecast_2016,2016,28,98419636,17-Aug-16
11635,7021,FDD,90,303256,Inbound,Forecast,2016,35,Forecast_2016,2016,28,98419636,17-Aug-16
11635,6071,FDD,90,317083,Inbound,Forecast,2016,35,Forecast_2016,2016,28,98419636,17-Aug-16
11635,7023,FDD,90,258624,Inbound,Forecast,2016,35,Forecast_2016,2016,28,98419636,17-Aug-16
11635,6074,FDD,90,246596,Inbound,Forecast,2016,35,Forecast_2016,2016,28,98419636,17-Aug-16
11635,6082,FDD,90,268320,Inbound,Forecast,2016,35,Forecast_2016,2016,28,98419636,17-Aug-16
11635,6083,FDD,90,251986,Inbound,Forecast,2016,35,Forecast_2016,2016,28,98419636,17-Aug-16
11633,6091,FDD,90,176836,Inbound,Forecast,2016,33,Forecast_2016,2016,28,98419636,17-Aug-16
11633,6090,FDD,90,261586,Inbound,Forecast,2016,33,Forecast_2016,2016,28,98419636,17-Aug-16
11633,6082,FDD,90,259509,Inbound,Forecast,2016,33,Forecast_2016,2016,28,98419636,17-Aug-16
11633,6077,FDD,90,235555,Inbound,Forecast,2016,33,Forecast_2016,2016,28,98419636,17-Aug-16
11633,6064,FDD,90,231865,Inbound,Forecast,2016,33,Forecast_2016,2016,28,98419636,17-Aug-16
11633,6085,FDD,90,243405,Inbound,Forecast,2016,33,Forecast_2016,2016,28,98419636,17-Aug-16
11634,6065,FDD,90,185811,Inbound,Forecast,2016,34,Forecast_2016,2016,28,98419636,17-Aug-16
11634,6082,FDD,90,261691,Inbound,Forecast,2016,34,Forecast_2016,2016,28,98419636,17-Aug-16
11634,6064,FDD,90,250631,Inbound,Forecast,2016,34,Forecast_2016,2016,28,98419636,17-Aug-16
11634,6074,FDD,90,212140,Inbound,Forecast,2016,34,Forecast_2016,2016,28,98419636,17-Aug-16
11633,6083,FDD,90,233381,Inbound,Forecast,2016,33,Forecast_2016,2016,28,98419636,17-Aug-16
11633,6084,FDD,90,201260,Inbound,Forecast,2016,33,Forecast_2016,2016,28,98419636,17-Aug-16
11633,6065,FDD,90,172583,Inbound,Forecast,2016,33,Forecast_2016,2016,28,98419636,17-Aug-16
11634,6077,FDD,90,237782,Inbound,Forecast,2016,34,Forecast_2016,2016,28,98419636,17-Aug-16
11634,6073,FDD,90,233035,Inbound,Forecast,2016,34,Forecast_2016,2016,28,98419636,17-Aug-16
11633,7019,FDD,90,264693,Inbound,Forecast,2016,33,Forecast_2016,2016,28,98419636,17-Aug-16
11633,7014,FDD,90,229126,Inbound,Forecast,2016,33,Forecast_2016,2016,28,98419636,17-Aug-16
11633,7015,FDD,90,210819,Inbound,Forecast,2016,33,Forecast_2016,2016,28,98419636,17-Aug-16
11633,7021,FDD,90,282908,Inbound,Forecast,2016,33,Forecast_2016,2016,28,98419636,17-Aug-16
11633,7018,FDD,90,196978,Inbound,Forecast,2016,33,Forecast_2016,2016,28,98419636,17-Aug-16
11633,6097,FDD,90,207062,Inbound,Forecast,2016,33,Forecast_2016,2016,28,98419636,17-Aug-16
11633,7017,FDD,90,281259,Inbound,Forecast,2016,33,Forecast_2016,2016,28,98419636,17-Aug-16
11633,6062,FDD,90,221883,Inbound,Forecast,2016,33,Forecast_2016,2016,28,98419636,17-Aug-16
11633,6074,FDD,90,197170,Inbound,Forecast,2016,33,Forecast_2016,2016,28,98419636,17-Aug-16
11633,6073,FDD,90,228898,Inbound,Forecast,2016,33,Forecast_2016,2016,28,98419636,17-Aug-16
11633,6059,FDD,90,121701,Inbound,Forecast,2016,33,Forecast_2016,2016,28,98419636,17-Aug-16
11633,7016,FDD,90,287678,Inbound,Forecast,2016,33,Forecast_2016,2016,28,98419636,17-Aug-16
11633,6095,FDD,90,263138,Inbound,Forecast,2016,33,Forecast_2016,2016,28,98419636,17-Aug-16
11633,6071,FDD,90,272222,Inbound,Forecast,2016,33,Forecast_2016,2016,28,98419636,17-Aug-16
11633,6072,FDD,90,208503,Inbound,Forecast,2016,33,Forecast_2016,2016,28,98419636,17-Aug-16
11631,6082,FDD,90,298653,Inbound,Forecast,2016,31,Forecast_2016,2016,28,98419636,17-Aug-16
11631,6065,FDD,90,202389,Inbound,Forecast,2016,31,Forecast_2016,2016,28,98419636,17-Aug-16
11631,6072,FDD,90,248229,Inbound,Forecast,2016,31,Forecast_2016,2016,28,98419636,17-Aug-16
11631,6064,FDD,90,274189,Inbound,Forecast,2016,31,Forecast_2016,2016,28,98419636,17-Aug-16
11631,6047,FDD,90,206304,Inbound,Forecast,2016,31,Forecast_2016,2016,28,98419636,17-Aug-16
11631,6055,FDD,90,218169,Inbound,Forecast,2016,31,Forecast_2016,2016,28,98419636,17-Aug-16
11631,6074,FDD,90,227289,Inbound,Forecast,2016,31,Forecast_2016,2016,28,98419636,17-Aug-16
11631,6073,FDD,90,280347,Inbound,Forecast,2016,31,Forecast_2016,2016,28,98419636,17-Aug-16
11631,6077,FDD,90,258922,Inbound,Forecast,2016,31,Forecast_2016,2016,28,98419636,17-Aug-16
11635,6042,FDD,90,130054,Inbound,Forecast,2016,35,Forecast_2016,2016,28,98419636,17-Aug-16
11634,7030,FDD,90,313813,Inbound,Forecast,2016,34,Forecast_2016,2016,28,98419636,17-Aug-16
11631,6071,FDD,90,346338,Inbound,Forecast,2016,31,Forecast_2016,2016,28,98419636,17-Aug-16
11634,7077,FDD,90,222386,Inbound,Forecast,2016,34,Forecast_2016,2016,28,98419636,17-Aug-16
11634,7084,FDD,90,307445,Inbound,Forecast,2016,34,Forecast_2016,2016,28,98419636,17-Aug-16
11634,7079,FDD,90,156293,Inbound,Forecast,2016,34,Forecast_2016,2016,28,98419636,17-Aug-16
11631,7015,FDD,90,272812,Inbound,Forecast,2016,31,Forecast_2016,2016,28,98419636,17-Aug-16
11631,7016,FDD,90,293286,Inbound,Forecast,2016,31,Forecast_2016,2016,28,98419636,17-Aug-16
11631,6858,FDD,90,128389,Inbound,Forecast,2016,31,Forecast_2016,2016,28,98419636,17-Aug-16
11631,6099,FDD,90,257798,Inbound,Forecast,2016,31,Forecast_2016,2016,28,98419636,17-Aug-16
11631,6085,FDD,90,257442,Inbound,Forecast,2016,31,Forecast_2016,2016,28,98419636,17-Aug-16
11631,7013,FDD,90,270268,Inbound,Forecast,2016,31,Forecast_2016,2016,28,98419636,17-Aug-16
11631,7014,FDD,90,223851,Inbound,Forecast,2016,31,Forecast_2016,2016,28,98419636,17-Aug-16
11631,6059,FDD,90,160494,Inbound,Forecast,2016,31,Forecast_2016,2016,28,98419636,17-Aug-16
11631,6062,FDD,90,260473,Inbound,Forecast,2016,31,Forecast_2016,2016,28,98419636,17-Aug-16
11630,7084,FDD,90,350407,Inbound,Forecast,2016,30,Forecast_2016,2016,28,98419636,17-Aug-16
11631,6042,FDD,90,138353,Inbound,Forecast,2016,31,Forecast_2016,2016,28,98419636,17-Aug-16
11631,7010,FDD,90,323366,Inbound,Forecast,2016,31,Forecast_2016,2016,28,98419636,17-Aug-16
11631,7012,FDD,90,187806,Inbound,Forecast,2016,31,Forecast_2016,2016,28,98419636,17-Aug-16
11631,6056,FDD,90,155265,Inbound,Forecast,2016,31,Forecast_2016,2016,28,98419636,17-Aug-16
11631,6057,FDD,90,162525,Inbound,Forecast,2016,31,Forecast_2016,2016,28,98419636,17-Aug-16
11634,7055,FDD,90,252639,Inbound,Forecast,2016,34,Forecast_2016,2016,28,98419636,17-Aug-16
11634,7023,FDD,90,222612,Inbound,Forecast,2016,34,Forecast_2016,2016,28,98419636,17-Aug-16
11634,7016,FDD,90,270868,Inbound,Forecast,2016,34,Forecast_2016,2016,28,98419636,17-Aug-16
11634,7017,FDD,90,294087,Inbound,Forecast,2016,34,Forecast_2016,2016,28,98419636,17-Aug-16
11634,7024,FDD,90,243691,Inbound,Forecast,2016,34,Forecast_2016,2016,28,98419636,17-Aug-16
11634,7010,FDD,90,280609,Inbound,Forecast,2016,34,Forecast_2016,2016,28,98419636,17-Aug-16
11634,7012,FDD,90,169624,Inbound,Forecast,2016,34,Forecast_2016,2016,28,98419636,17-Aug-16
11634,7021,FDD,90,310129,Inbound,Forecast,2016,34,Forecast_2016,2016,28,98419636,17-Aug-16
11635,7016,FDD,90,257999,Inbound,Forecast,2016,35,Forecast_2016,2016,28,98419636,17-Aug-16
11635,7012,FDD,90,196687,Inbound,Forecast,2016,35,Forecast_2016,2016,28,98419636,17-Aug-16
11635,7010,FDD,90,279562,Inbound,Forecast,2016,35,Forecast_2016,2016,28,98419636,17-Aug-16
11635,7017,FDD,90,308820,Inbound,Forecast,2016,35,Forecast_2016,2016,28,98419636,17-Aug-16
11634,7018,FDD,90,194076,Inbound,Forecast,2016,34,Forecast_2016,2016,28,98419636,17-Aug-16
11634,7019,FDD,90,249000,Inbound,Forecast,2016,34,Forecast_2016,2016,28,98419636,17-Aug-16
11635,7015,FDD,90,274674,Inbound,Forecast,2016,35,Forecast_2016,2016,28,98419636,17-Aug-16
11635,6065,FDD,90,187033,Inbound,Forecast,2016,35,Forecast_2016,2016,28,98419636,17-Aug-16
11635,6059,FDD,90,152045,Inbound,Forecast,2016,35,Forecast_2016,2016,28,98419636,17-Aug-16
11635,6055,FDD,90,195789,Inbound,Forecast,2016,35,Forecast_2016,2016,28,98419636,17-Aug-16
11635,6056,FDD,90,148467,Inbound,Forecast,2016,35,Forecast_2016,2016,28,98419636,17-Aug-16
11635,6047,FDD,90,194584,Inbound,Forecast,2016,35,Forecast_2016,2016,28,98419636,17-Aug-16
11634,7048,FDD,90,269684,Inbound,Forecast,2016,34,Forecast_2016,2016,28,98419636,17-Aug-16
11635,6062,FDD,90,268487,Inbound,Forecast,2016,35,Forecast_2016,2016,28,98419636,17-Aug-16
11635,6064,FDD,90,280949,Inbound,Forecast,2016,35,Forecast_2016,2016,28,98419636,17-Aug-16
11634,7014,FDD,90,217249,Inbound,Forecast,2016,34,Forecast_2016,2016,28,98419636,17-Aug-16
11634,6099,FDD,90,207231,Inbound,Forecast,2016,34,Forecast_2016,2016,28,98419636,17-Aug-16
11634,6858,FDD,90,116115,Inbound,Forecast,2016,34,Forecast_2016,2016,28,98419636,17-Aug-16
11634,7015,FDD,90,220698,Inbound,Forecast,2016,34,Forecast_2016,2016,28,98419636,17-Aug-16
11635,6057,FDD,90,193174,Inbound,Forecast,2016,35,Forecast_2016,2016,28,98419636,17-Aug-16
11634,7013,FDD,90,274010,Inbound,Forecast,2016,34,Forecast_2016,2016,28,98419636,17-Aug-16
